순위,관광지ID,업소명,분류
83,c093e214c70ef54874e40713aa3bb79f,버거킹남양주별내오일뱅크점,간이음식
84,80ba1d02921c8577e9a0e3efdda4b458,우리집팔당닭발본점,한식
85,5c5543c74efb7e9042cf62b9b18e12f6,카페봉주르,카페/찻집
86,56b6421dcc14e5d4e64e347976802d53,팔숲,카페/찻집
87,6dc254b255510612111c86415fd19dc8,경복궁삼계탕별내점,한식
88,c92b6de8c25f93d70837e924efd54131,돌미나리집,한식
89,8ca149f30b0d52ded1cad1c7d2dbe052,오팔당,한식
90,27d40334af4c01dda65759393b73a60c,어랑손만두국,한식
91,1c12f67928d4e0cb2e306de7fd73604b,온누리누룽지백숙&진흙구이팔당점,한식
92,f1e08e0f0ae26dd173de6c7beb469215,스타벅스남양주진접DT점,카페/찻집
93,9dcfd99b8337f90460d11c21966fc66a,쌍둥이해장국,한식
94,d807569b66375d218f60437984414e4e,스타벅스남양주화도DT점,카페/찻집
95,0400c5feecb984ec156fad462623ed50,남양주한우마을,한식
96,62d1f1ff454e6ae2e1a857aa8afacc10,광릉돌솥밥,한식
97,81707f639da06e5f56b12970336ac81e,퀴에스카페,카페/찻집
98,b26dbb562c96520c4a72729dbd752245,황금코다리다산점,한식
99,78e58aff453d07912777476171dfeed0,고집통문어칼국수별내별가람역점,한식
100,7a6e07decff5b6506640e67f36559f40,장우가든남양주본점,한식
