addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
경기도 성남시 분당구 판교역로192번길 12 (삼평동),,31,A05,A0502,A05020200,2754712,39,20211007232446,http://tong.visitkorea.or.kr/cms/resource/89/2932189_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2932189_image3_1.jpg,Type3,127.1107526546,37.3975623473,6,20250520155125,12,,라디오베이,13524,41,135,FD,FD02,FD020300
경기도 고양시 덕양구 고양대로 1445-37,,31,A05,A0502,A05020900,2873651,39,20221024163014,http://tong.visitkorea.or.kr/cms/resource/13/2873613_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2873613_image3_1.jpg,Type3,126.8440891279,37.6545193842,6,20250120170728,2,,라떼떼라,10293,41,281,FD,FD05,FD050100
경기도 광주시 퇴촌면 정영로 941-9,,31,A05,A0502,A05020200,1810727,39,20130510204216,,,,127.3839172608,37.4768358775,6,20251110152134,5,,라또마떼,12712,41,610,FD,FD02,FD020300
경기도 안산시 단원구 뻐꾹산길 41-38 (대부북동),,,,,,3035898,39,20231110113113,https://tong.visitkorea.or.kr/cms/resource/85/3003385_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/85/3003385_image3_1.jpg,Type3,126.57681156615212,37.255584398472685,6,20260414091950,,,라라랜드,15640,41,273,FD,FD05,FD050100
경기도 김포시 고촌읍 아라육로152번길 169,,31,B02,B0201,B02010100,2874683,32,20221025135611,http://tong.visitkorea.or.kr/cms/resource/76/2874676_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2874676_image3_1.jpg,Type3,126.7859014954,37.6013634210,6,20250730105522,8,,라마다앙코르 바이윈덤 김포한강호텔,10135,41,570,AC,AC01,AC010100
경기도 수원시 팔달구 중부대로 150,,,,,,971242,32,20100311223733,https://tong.visitkorea.or.kr/cms/resource/82/2431282_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/82/2431282_image3_1.jpg,Type3,127.032427164107,37.2777358314285,6,20260225110519,,,라마다프라자 수원호텔,16483,41,115,AC,AC01,AC010100
경기도 의왕시 계원대학로 28 (내손동),,31,A05,A0502,A05020300,2872443,39,20221021135901,http://tong.visitkorea.or.kr/cms/resource/04/2872404_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/04/2872404_image3_1.JPG,Type3,126.9745655494,37.3791425980,6,20250721154643,24,,라멘구락부,16039,41,430,FD,FD02,FD020200
경기도 가평군 북면 가화로 2372-42,,31,A03,A0302,A03021700,2726664,28,20210722200050,http://tong.visitkorea.or.kr/cms/resource/24/2726824_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2726824_image3_1.jpg,Type3,127.4781614576,37.9545070844,6,20250410104809,1,,라무키즈글램핑,12401,41,820,AC,AC05,AC050400
경기도 하남시 미사대로 750 (신장동),1층,,,,,4026356,38,20260227203512,https://tong.visitkorea.or.kr/cms/resource/43/4045743_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/43/4045743_image3_1.jpg,Type3,127.223940331575,37.5454041231797,,20260330091611,,,라미 스타필드 하남점,12942,41,450,SH,SH04,SH040300
경기도 용인시 처인구 원삼면 원양로 426,,31,A05,A0502,A05020900,2833806,39,20220808142357,http://tong.visitkorea.or.kr/cms/resource/96/2833796_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2833796_image3_1.jpg,Type3,127.3101070361,37.1924480151,6,20250704171320,23,,라미르,17167,41,461,FD,FD05,FD050100
