addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
경기도 남양주시 조안면 다산로 767,,,,,,2500687,12,20170721010625,https://tong.visitkorea.or.kr/cms/resource/53/3507853_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/53/3507853_image3_1.jpg,Type1,127.298375113133,37.5143591026577,6.0,20260311100340,,,다산생태공원,12283,41,360.0,,NA04,NA040500
경기도 남양주시 다산순환로 149 (다산동),,,,,,2734937,12,20210818230810,https://tong.visitkorea.or.kr/cms/resource/13/3508013_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/13/3508013_image3_1.jpg,Type1,127.1442065655372,37.62324118433568,6.0,20260311100340,,,다산수변공원,12248,41,360.0,VE,VE03,VE030500
경기도 남양주시 다산중앙로146번길 62,(다산동),31.0,A02,A0202,A02020700,2772196,12,20211110201835,http://tong.visitkorea.or.kr/cms/resource/72/3507872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3507872_image3_1.jpg,Type1,127.1597833908,37.6251562566,6.0,20250718090000,9.0,,다산중앙공원,12285,41,360.0,VE,VE03,VE030500
경기도 남양주시 오남읍 진건오남로690번길 121,,31.0,A05,A0502,A05020100,2876998,39,20221027102232,http://tong.visitkorea.or.kr/cms/resource/85/2876985_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2876985_image3_1.jpg,Type3,127.2225950409,37.6973045633,6.0,20250513141704,9.0,,다송,12037,41,360.0,FD,FD01,FD010100
경기도 남양주시 다산순환로 50 (다산동),2층,,,,,4012031,38,20260205113847,https://tong.visitkorea.or.kr/cms/resource/49/4024749_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/49/4024749_image3_1.jpeg,Type3,127.152429100255,37.616257926116,,20260330091611,,,다이나핏 현대프리미엄아울렛 스페이스원점,12248,41,360.0,SH,SH04,SH040300
경기도 남양주시 다산중앙로 132 (다산동),다산역파크애비뉴,,,,,4008122,38,20260129011043,https://tong.visitkorea.or.kr/cms/resource/33/4024233_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/33/4024233_image3_1.jpg,Type3,127.15331636875,37.6255542396617,,20260316103559,,,닥터스피부과의원 다산,12285,41,360.0,SH,SH04,SH040300
경기도 남양주시 진접읍 금강로782번길 292-21,,31.0,A05,A0502,A05020900,2830203,39,20220729103745,http://tong.visitkorea.or.kr/cms/resource/90/2830190_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2830190_image3_1.jpg,Type3,127.1631810923,37.6945426948,6.0,20250512163648,9.0,,달빛새 베이커리앤카페,12074,41,360.0,FD,FD05,FD050100
경기도 남양주시 화도읍 북한강로 1132-32,,,,,,3017953,28,20231005113400,https://tong.visitkorea.or.kr/cms/resource/73/4059873_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/73/4059873_image3_1.JPG,Type3,127.34403388802022,37.61450085115161,6.0,20260424091626,,,달빛수상레저,12194,41,360.0,LS,LS02,LS021400
경기도 남양주시 불암로 25-1 (별내동),558-160,,,,,2843008,39,20220824134115,,,,127.11172412541788,37.643155113883594,6.0,20260309093631,,,담터추어탕,12100,41,360.0,FD,FD01,FD010100
경기도 남양주시 조안면 다산로761번길 15,,31.0,A02,A0204,A02040800,2500685,12,20170721003818,http://tong.visitkorea.or.kr/cms/resource/42/3404742_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/42/3404742_image3_1.JPG,Type3,127.2995543708,37.515454864,6.0,20250325164527,9.0,,대가농원,12283,41,360.0,EX,EX06,EX061000
경기도 남양주시 고산로 249-12 (삼패동),,31.0,A05,A0502,A05020100,2860388,39,20220927095432,http://tong.visitkorea.or.kr/cms/resource/81/2860381_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2860381_image3_1.jpg,Type3,127.1937395074,37.5945687588,6.0,20250513095042,9.0,,대문집,12245,41,360.0,FD,FD01,FD010100
경기도 남양주시 화도읍 북한강로 1697,,,,,,2877012,39,20221027102736,,,,127.37227877048544,37.65859760957331,6.0,20260318101005,,,대청마루,12192,41,360.0,FD,FD01,FD010100
경기도 남양주시 진접읍 광릉수목원로 150-35,,31.0,A05,A0502,A05020900,2857487,39,20220921153521,http://tong.visitkorea.or.kr/cms/resource/58/2857458_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/58/2857458_image3_1.png,Type3,127.1923768358,37.7499173375,6.0,20250513093118,9.0,,댕그라미,12001,41,360.0,FD,FD05,FD050100
경기도 남양주시 다산순환로 50 (다산동),3층,,,,,4012027,38,20260205113541,https://tong.visitkorea.or.kr/cms/resource/56/4024756_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/56/4024756_image3_1.jpeg,Type3,127.152429100255,37.616257926116,,20260330091611,,,더 기어샵 현대프리미엄아울렛 스페이스원점,12248,41,360.0,SH,SH04,SH040300
경기도 남양주시 고산로126번길 33-6 (수석동),,31.0,A05,A0502,A05020100,2867190,39,20221014112127,http://tong.visitkorea.or.kr/cms/resource/80/2867180_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/80/2867180_image3_1.JPG,Type3,127.179707539,37.5915049715,6.0,20250513125830,9.0,,더 숯불,12268,41,360.0,FD,FD01,FD010100
경기도 남양주시 진접읍 금강로 1845,,31.0,A05,A0502,A05020100,133152,39,20040826090000,,,,127.2082253969,37.7496982065,6.0,20250404161044,9.0,,더늘봄,12018,41,360.0,FD,FD01,FD010100
경기도 남양주시 조안면 북한강로626번길 82-25,,31.0,A02,A0203,A02030100,2772187,12,20211110201750,http://tong.visitkorea.or.kr/cms/resource/56/3338456_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3338456_image3_1.jpg,Type3,127.3315440432,37.5804173508,6.0,20250404114024,9.0,,더드림딸기체험농장,12278,41,360.0,EX,EX03,EX030300
경기도 남양주시 화도읍 북한강로 1630-18,,31.0,A03,A0302,A03021700,2744456,28,20210914222242,http://tong.visitkorea.or.kr/cms/resource/75/2745575_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2745575_image2_1.jpg,Type3,127.3699051351,37.652740207,6.0,20250822143304,9.0,,더드림핑 야영장,12193,41,360.0,AC,AC05,AC050100
경기도 남양주시 화도읍 경춘로 2630,,31.0,A03,A0303,A03030100,2765247,28,20211101191040,http://tong.visitkorea.or.kr/cms/resource/73/2765273_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2765273_image3_1.jpg,Type3,127.3741987684,37.6672830404,6.0,20250513164356,9.0,,더시크릿수상레저,12192,41,360.0,LS,LS02,LS020100
경기도 남양주시 비룡로 1438-67,,31.0,A05,A0502,A05020900,2940879,39,20230105144245,http://tong.visitkorea.or.kr/cms/resource/79/3549079_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/3549079_image3_1.jpg,Type3,127.2778552106,37.7478913526,6.0,20251023143000,9.0,,더에이,12026,41,360.0,FD,FD05,FD050100
경기도 남양주시 와부읍 덕소로 94-2,,31.0,A05,A0502,A05020100,2862590,39,20221004094230,http://tong.visitkorea.or.kr/cms/resource/75/2862575_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/75/2862575_image3_1.JPG,Type3,127.2118269936,37.5860478542,6.0,20250513101558,9.0,,덕붕뽈살 덕소본점,12210,41,360.0,FD,FD01,FD010100
경기도 남양주시 와부읍 수레로 213,,31.0,A05,A0502,A05020100,2862611,39,20221004095107,http://tong.visitkorea.or.kr/cms/resource/03/2862603_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/03/2862603_image3_1.JPG,Type3,127.2312471293,37.5972024663,6.0,20250513101830,9.0,,덕소숯불고기 본점,12203,41,360.0,FD,FD01,FD010100
경기도 남양주시 와부읍 석실로 46-11,,,,,,2736386,14,20210825191052,https://tong.visitkorea.or.kr/cms/resource/04/2758804_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/04/2758804_image3_1.jpg,Type3,127.23013996962534,37.57979422649282,6.0,20260304100426,,,덕소자연사박물관,12269,41,360.0,VE,VE07,VE070100
경기도 남양주시 와부읍 수레로 139,,31.0,A05,A0502,A05020100,2867251,39,20221014113828,http://tong.visitkorea.or.kr/cms/resource/41/2867241_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/41/2867241_image3_1.JPG,Type3,127.2237423404,37.5942832247,6.0,20250513130056,9.0,,덕소한우사랑정육식당,12204,41,360.0,FD,FD01,FD010100
경기도 남양주시 불암산로 40 덕화가든,,,,,,2830090,39,20220728163920,,,,127.108125914426,37.6477227079368,6.0,20260224164851,,,덕화배꽃마을,12100,41,360.0,FD,FD01,FD010100
